DEPARTMENT_ID,MAXIMUM,MINIMUM,SUM,AVARAGE
NULL,7000.00,7000.00,7000.00,7000.00
10,4400.00,4400.00,4400.00,4400.00
20,13000.00,6000.00,19000.00,9500.00
30,11000.00,2500.00,24900.00,4150.00
40,6500.00,6500.00,6500.00,6500.00
50,8200.00,2100.00,156400.00,3475.5555
60,9000.00,4200.00,28800.00,5760.00
70,10000.00,10000.00,10000.00,10000.00
80,14000.00,6100.00,304500.00,8955.8823
90,24000.00,17000.00,58000.00,19333.3333
100,12000.00,6900.00,51600.00,8600.00
110,12000.00,8300.00,20300.00,10150.00
